ID,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10,accuracy11,accuracy12,accuracy13,accuracy14,accuracy15,accuracy16,accuracy17,accuracy18,accuracy19,accuracy20,Accuracy,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,RT15,RT16,RT17,RT18,RT19,RT20
1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.35,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2690,2130,1574,2487,6639,1603,1686,3770,1303,3027,3808,2257,4685,2661,2515,1619,3185,2162,2002,7989
3,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0.4,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2043,1745,1602,1617,886,1826,1789,1640,2727,1104,1918,1750,2067,4077,1765,1300,6081,13363,16001,3123
4,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0.5,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,17316,1921,1643,67538,24715,3854,2724,2960,1892,7160,12983,2726,2377,1032,2165,1742,1337,1275,1657,1423
7,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,3235,3248,2118,2394,3124,2277,2865,2467,1986,3095,2758,2522,2057,2222,3678,3435,3002,3082,2494,2152
9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,5235,2717,4512,2304,1632,2738,22116,2505,5847,1458,34454,23136,3737,11152,1862,54943,1178,5744,9335,7413
12,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.55,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,7478,4024,2146,2122,2686,18735,3135,4915,2507,3339,3411,2779,2367,3588,3436,4163,4640,2950,9850,4960
13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0.3,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1863,5534,4676,2378,7400,2483,3060,7548,8639,2304,3313,13877,8878,4890,3840,15881,371,5599,11597,2924
14,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0.7,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,9524,5188,4443,4143,1682,2630,3772,1912,2458,3633,3159,4288,2373,3522,3634,3293,3932,5405,3242,4864
15,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0.6,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,4057,1477,1070,1257,1319,3248,3277,1683,1766,1823,1219,1503,954,3449,3622,988,1221,1272,1225,1256
16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2,10035,3794,3383,3207,3821,4854,3841,3868,3501,2689,6616,6570,3604,3354,4451,2620,4590,4499,4123,2634
17,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0.4,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,5310,1523,1302,939,1121,1387,1252,1314,1666,1878,1514,1329,1157,2299,1589,1336,1358,1676,1967,1184
18,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3735,4042,1936,3740,1199,5629,3011,3142,3805,6330,5137,12117,2493,2813,4939,10328,4085,5037,5618,4125
19,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0.55,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,5040,2715,2002,2665,1288,1131,2845,2707,1213,947,3138,8154,2381,995,755,1818,1697,3567,3576,2844
20,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0.5,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,15405,5951,10639,6687,2710,2935,6925,4523,2101,1842,9970,1804,6238,1090,3304,2410,8814,7771,5499,4640
21,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0.45,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,5926,1723,9023,9427,5893,8803,10116,5623,9113,6898,4518,2869,3780,4357,3146,5217,1618,2145,3699,1505
22,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,,0.526315789,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,,3413,16484,14022,7888,27351,1246,2376,8734,8515,56828,9939,2040,3842,7005,1011,2126,2392,2498,5127,
23,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,,0.473684211,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,1935,5014,1378,442,1194,1650,1074,1001,1191,1409,1116,3513,1603,1553,1217,997,1307,4861,7750,
24,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.55,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2741,2841,3560,2100,1170,1956,4293,2574,7829,5600,4146,3214,3981,2454,3319,4380,1653,2445,4178,3560
26,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0.45,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6127,16515,4274,2777,4382,2095,6811,1391,10522,2254,1705,3619,9250,2047,3262,47849,1768,182,12362,732
28,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0.5,2,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2568,2867,9281,1977,2519,2961,2424,569,3898,3373,8447,6948,5893,3720,5443,2701,4661,2202,5857,2732
31,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.3,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,5422,5763,2820,3924,3507,2620,4262,2716,3351,3123,2872,3780,3151,2715,3112,3719,2473,2583,2791,2842
33,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5969,6716,6440,2964,9363,5957,1776,5772,7732,3096,10091,11394,2245,3365,4073,4874,4438,8986,2355,10768
34,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0.45,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,3428,1711,3295,2150,5213,2196,3779,1357,2685,6166,6027,7267,10559,2974,4026,7892,2861,3439,2876,101
35,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0.45,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,3557,2170,1120,1537,962,1734,965,1357,1359,2146,5176,1500,1657,1129,2217,2065,2241,2351,3038,2157
36,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0.5,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3319,3314,2583,2423,3438,3332,1950,2554,1704,1905,2821,2736,1583,1393,2372,1529,1688,2265,3066,2497
37,0,1,1,0,0,0,1,0,1,0,,1,0,1,1,1,0,0,1,1,0.526315789,2,1,2,2,1,1,1,1,1,1,57,1,1,1,2,1,1,1,1,1,1788,1490,1325,2068,2201,2220,6866,1644,2016,1481,2424,1730,2053,2359,2671,201,2350,1982,1502,2015
38,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0.4,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,4537,3011,2088,4139,3589,2992,4128,6136,3146,3809,9854,3105,7297,4345,4529,2757,6834,4735,10358,7671
39,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.35,2,1,1,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,2,3612,4924,3506,3131,2377,1859,1506,4262,4238,3957,2691,1284,3694,5584,22439,3292,1718,1470,19450,4714
40,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0.5,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,5513,6525,3345,3920,2818,2828,17052,4966,3310,1064,4328,4012,3126,2903,3359,5476,4991,6151,1409,1175
41,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0.55,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,9145,3083,4306,4717,3321,4295,7584,3212,2897,3430,3445,2810,7483,5450,30786,5857,7063,6683,6482,3152
42,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.65,2,2,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,1,5445,4553,3117,2528,6220,15785,2950,2203,4262,3791,10366,2815,2731,2484,2483,6128,1606,3308,2536,2780
43,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0.4,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,7535,4754,4875,3013,2169,3868,4906,3593,5241,4121,4790,4226,6272,5264,5210,3970,21189,6282,4768,4908
44,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,9396,4735,3816,6755,4232,6046,4219,4061,5188,3561,5978,5202,3379,4226,4682,3382,3414,4050,3204,4571
45,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2063,4783,4538,2312,3063,2603,3286,2078,1924,1818,1607,2885,1970,2014,4685,2048,8854,4003,4680,3885
46,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0.55,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1869,988,1257,1603,873,1780,1376,1223,989,3182,7570,1384,727,839,4009,1337,,694,889,694
47,1,1,1,,,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0.555555556,1,1,2,57,57,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7295,5152,11065,3326,118,19846,3048,1530,3342,1641,1223,1155,10457,1282,1447,997,2815,1994,8003,27070
48,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0.4,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,18876,2401,2497,1833,1217,9370,3470,9758,1712,1482,3793,3418,1700,974,990,906,1242,1608,4057,2183
49,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0.45,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2854,3165,1796,2272,1989,1907,1881,1927,3041,2079,1873,1766,1755,1335,1549,2690,1329,3700,1474,1074
50,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0.45,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2322,1597,32996,2935,4569,1886,1331,1034,1087,899,720,4378,49988,32973,42879,5630,45506,25698,5053,1636
51,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0.4,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2724,4868,7641,4572,4014,2951,2684,4497,3522,4725,3150,3190,3806,3125,4003,3860,4155,3346,6467,3624
52,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0.8,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,23130,3507,3964,5247,4716,4649,4295,10920,3036,2778,3407,6950,2186,10588,3125,7926,3766,2340,22075,3047
53,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0.3,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,3195,15121,1879,3364,3427,5193,11830,1652,21557,3907,8263,3260,5081,11198,2438,8022,5988,1882,6159,4092
54,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0.6,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2692,2545,2590,2806,5006,3591,4378,1360,2494,1683,5351,4478,4615,2862,5365,6856,4039,2309,3437,2578
55,0,1,0,0,0,,,,,,,,,,,,,,,,0.2,2,1,1,2,0,,,,,,,,,,,,,,,,3385,2609,8127,12921,0,,,,,,,,,,,,,,,
56,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0.4,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2966,4482,3527,2272,4116,2501,1601,1864,2661,2949,1949,1640,5880,2153,1679,48848,1589,3258,3191,2279
57,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4012,2065,1159,1454,3234,2089,1086,1141,3286,1817,2609,1468,1704,862,8925,1673,4386,1952,2506,5155
59,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0.55,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2012,4376,7714,6376,6232,9272,3884,2965,9114,2373,1328,1123,4722,4725,4525,2398,3898,2346,5735,2801
60,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,0.368421053,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,57,1,1,1010,2303,1887,1789,2174,2744,22125,2595,1780,4448,2151,6699,5648,1916,1119,1831,1520,26637,7326,5719
61,,1,,,,,,0,,,,,,,,,,,,,0.5,57,1,57,57,57,57,57,0,,,,,,,,,,,,,31546,16404,34897,12597,15817,28262,36177,0,,,,,,,,,,,,
62,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0.5,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2168,3217,1417,5395,2547,3506,3422,4131,3662,3117,6253,5232,3973,5552,3612,25403,5567,4669,6662,3449
63,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0.55,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,5998,3760,2756,3230,1803,2343,2079,1524,2495,2626,1549,1657,1040,2978,2258,3507,2150,2538,2723,6601
64,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.75,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,4550,6019,3955,5386,5570,2001,4191,3044,6445,4599,4457,5029,3417,6635,4633,3716,15108,8180,7236,2086
65,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0.5,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1467,1881,1474,1494,1246,2101,1705,2271,1825,3879,4131,2094,3835,3604,3020,3097,3275,6231,2795,2733
66,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0.5,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,6025,3050,2421,1190,882,1097,1003,1333,997,938,2528,1742,2058,5499,1021,2868,1942,1218,1136,994
67,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0.35,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2794,3078,2400,3177,2137,2011,4652,1903,6568,3229,2415,2899,3395,2050,2041,1753,1943,3643,2619,2636
68,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0.45,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,3520,4720,2921,122,2310,5635,7752,2374,3011,3384,2478,2745,2672,1815,8590,5169,2535,11510,8566,4047
69,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0.5,2,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,3012,2291,1481,1247,1542,844,1465,1214,1799,1198,1847,1192,1342,1329,1393,1319,1209,1526,1885,5398
70,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0.4,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,9721,1811,1726,2007,2428,3841,1799,1805,4408,3786,1258,3056,2575,2037,3098,1017,698,1583,3097,1564
71,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0.45,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,4133,4233,3066,1617,1081,3152,2388,2765,4105,7134,6801,1829,4799,2294,7005,12881,2075,10382,2870,4318
73,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0.65,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2688,1457,1337,2834,2526,1226,1306,1169,1485,1633,3358,1596,1497,1446,1973,2376,1915,2095,1363,1888
74,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0.55,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,5173,7082,4146,6388,6987,21075,2389,3940,10967,5074,3537,3379,3626,6969,4937,3548,2081,3863,2088,2016
75,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.4,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,4510,2405,1785,1017,1233,2283,1839,1446,2726,2172,2565,1363,3061,4028,2180,935,4265,2863,2838,1983
76,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0.55,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,6909,2162,3061,2217,2273,2168,2127,4201,2128,1986,3652,2489,3538,2269,2851,2348,2495,2992,2323,2436
77,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.4,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,3294,2925,3195,5152,10461,9047,2665,5400,3559,2186,2484,31634,5543,5001,779,1547,2662,23580,6574,2991
78,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0.45,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2590,1848,2461,1777,1059,2609,1878,1338,1707,1337,2257,1143,1560,1324,1504,1127,1888,932,930,5288
81,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0.5,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,4047,1747,3663,1710,4156,2769,2237,2112,1564,3489,2371,2708,8000,7230,4506,2981,6581,5605,6812,4058
83,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0.4,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,5696,3101,1473,1277,1574,1853,1866,5963,3183,3651,3985,4250,3555,4149,4738,4744,3765,3122,3663,2409
86,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.45,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2964,1602,3376,1857,1954,1349,1268,1024,2322,1833,1923,1071,592,1558,973,1410,1120,1393,5896,2210
87,,,1,,,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0.8125,57,57,2,57,57,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,6494,7882,3591,7014,5865,1929,3120,2472,2707,2606,2846,3358,2811,1925,1860,3198,3043,3737,3444,2650
89,1,1,1,1,0,1,1,0,1,0,,1,0,0,1,0,1,1,0,1,0.631578947,1,1,2,1,1,2,1,1,1,1,57,1,1,2,2,2,2,2,2,1,1741,3502,3671,2243,2286,1674,2204,2102,3226,1732,19248,2095,2415,2593,6930,1946,9252,1944,2866,6169
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,6192,4113,2627,2707,2515,2690,2839,2786,2520,4165,3663,2859,2642,4652,3020,2599,2793,3194,3176,2460
91,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0.5,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,17605,5092,3638,2551,3329,4219,2203,2418,4337,4535,13755,7113,15726,3354,2375,2120,2668,2116,1903,3670
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2935,1756,7224,2683,1967,7264,2261,2591,3845,2956,2716,2865,1995,4616,2757,3233,2738,3686,3324,2260
95,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0.45,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,3132,3519,2327,1963,1651,3367,2170,2259,1641,2991,3139,2812,1998,2247,2884,1528,2055,2527,1736,1649
97,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.25,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,3260,3270,1288,2069,1476,1099,1982,2543,876,1859,1544,1918,2135,1678,3308,4422,3403,7328,2465,2087
98,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3762,2145,4005,4245,4088,1886,1312,1234,1240,3634,2203,1124,3325,1719,4044,3609,1763,1374,1036,1770
101,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.8,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2429,2383,2285,2094,1801,1730,1963,2629,1610,1890,1988,2651,2676,2067,1750,2496,1654,2700,1408,1282
102,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.9,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,7962,4947,7480,4114,4783,4390,2503,2989,5706,3336,5517,4178,4515,2575,4794,2673,3396,2631,2381,2800
103,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0.4,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,4278,2981,2672,3112,1367,3746,5028,3237,3752,6010,1826,942,735,2503,2013,1833,1002,1041,901,1264
106,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0.55,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,5173,2126,1925,2158,1148,1165,1887,2782,1966,1413,1019,772,1533,1044,2322,1378,1829,1207,1112,810
110,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.35,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2225,1683,1505,2229,4846,1364,5835,1962,1374,2648,13348,1769,21659,1635,1226,3064,3554,2994,4209,2226
111,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.9,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2849,2320,2105,3110,3046,2678,3051,2341,2390,2133,2942,3020,2494,2891,2713,2205,2914,2053,2445,1988
112,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.45,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,2577,4585,2814,1960,2078,1402,1812,1502,1667,5119,1820,2327,2193,1930,1728,2167,2954,1900,2182,2650
113,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0.85,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2097,1968,1811,2245,1891,2155,2314,2099,2448,4293,2345,2305,2217,2597,2397,2206,2248,2007,2143,2333
114,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
116,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.55,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2131,1356,1214,1026,1043,1141,1078,975,957,1124,1350,1307,983,964,1154,1301,1223,1141,1186,969
118,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.4,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2899,1174,1862,2464,3440,2994,2069,3839,2209,2640,2099,1501,1434,1442,1271,895,949,2354,2221,2422
