"ID","trial","response","correct_response","acc"
1,1,"Left","Right","0"
1,2,"Left","Right","0"
1,3,"Left","Left","1"
1,4,"Left","Right","0"
1,5,"Left","Left","1"
1,6,"Right","Right","1"
1,7,"Left","Left","1"
1,8,"Left","Left","1"
1,9,"Right","Right","1"
1,10,"Left","Left","1"
1,11,"Left","Left","1"
1,12,"Left","Right","0"
1,13,"Right","Right","1"
1,14,"Left","Left","1"
1,15,"Left","Right","0"
1,16,"Right","Right","1"
1,17,"Left","Left","1"
1,18,"Left","Left","1"
1,19,"Left","Left","1"
1,20,"Right","Right","1"
2,1,"Space","Left",""
2,2,"Space","Left",""
2,3,"Right","Right","1"
2,4,"Space","Left",""
2,5,"Right","Right","1"
2,6,"Space","Left",""
2,7,"Left","Right","0"
2,8,"Right","Right","1"
2,9,"Left","Left","1"
2,10,"Space","Right",""
2,11,"Right","Right","1"
2,12,"Left","Left","1"
2,13,"Space","Left",""
2,14,"Space","Right",""
2,15,"Left","Left","1"
2,16,"Space","Left",""
2,17,"Space","Right",""
2,18,"Right","Right","1"
2,19,"Right","Right","1"
2,20,"Left","Left","1"
3,1,"Left","Left","1"
3,2,"Left","Left","1"
3,3,"Right","Right","1"
3,4,"Left","Left","1"
3,5,"Right","Right","1"
3,6,"Right","Left","0"
3,7,"Left","Right","0"
3,8,"Left","Right","0"
3,9,"Left","Left","1"
3,10,"Right","Right","1"
3,11,"Right","Right","1"
3,12,"Left","Left","1"
3,13,"Left","Left","1"
3,14,"Left","Right","0"
3,15,"Left","Left","1"
3,16,"Left","Left","1"
3,17,"Right","Right","1"
3,18,"Right","Right","1"
3,19,"Left","Right","0"
3,20,"Left","Left","1"
4,1,"Left","Left","1"
4,2,"Left","Left","1"
4,3,"Space","Right",""
4,4,"Left","Left","1"
4,5,"Right","Right","1"
4,6,"Right","Left","0"
4,7,"Right","Right","1"
4,8,"Right","Right","1"
4,9,"Left","Left","1"
4,10,"Right","Right","1"
4,11,"Right","Right","1"
4,12,"Left","Left","1"
4,13,"Left","Left","1"
4,14,"Right","Right","1"
4,15,"Left","Left","1"
4,16,"Right","Left","0"
4,17,"Right","Right","1"
4,18,"Right","Right","1"
4,19,"Left","Right","0"
4,20,"Right","Left","0"
5,1,"Left","Left","1"
5,2,"Left","Left","1"
5,3,"Right","Right","1"
5,4,"Left","Left","1"
5,5,"Right","Right","1"
5,6,"Left","Left","1"
5,7,"Right","Right","1"
5,8,"Right","Right","1"
5,9,"Space","Left",""
5,10,"Space","Right",""
5,11,"Right","Right","1"
5,12,"Left","Left","1"
5,13,"Space","Left",""
5,14,"Space","Right",""
5,15,"Space","Left",""
5,16,"Left","Left","1"
5,17,"Space","Right",""
5,18,"Space","Right",""
5,19,"Right","Right","1"
5,20,"Right","Left","0"
8,1,"Space","Right",""
8,2,"Space","Right",""
8,3,"Left","Left","1"
8,4,"Right","Right","1"
8,5,"Space","Left",""
8,6,"Right","Right","1"
8,7,"Left","Left","1"
8,8,"Left","Left","1"
8,9,"Right","Right","1"
8,10,"Left","Left","1"
8,11,"Left","Left","1"
8,12,"Left","Right","0"
8,13,"Right","Right","1"
8,14,"Left","Left","1"
8,15,"Right","Right","1"
8,16,"Left","Right","0"
8,17,"Left","Left","1"
8,18,"Left","Left","1"
8,19,"Left","Left","1"
8,20,"Right","Right","1"
9,1,"Right","Right","1"
9,2,"Right","Right","1"
9,3,"Left","Left","1"
9,4,"Right","Right","1"
9,5,"Right","Left","0"
9,6,"Right","Right","1"
9,7,"Left","Left","1"
9,8,"Left","Left","1"
9,9,"Right","Right","1"
9,10,"Left","Left","1"
9,11,"Left","Left","1"
9,12,"Left","Right","0"
9,13,"Right","Right","1"
9,14,"Right","Left","0"
9,15,"Right","Right","1"
9,16,"Right","Right","1"
9,17,"Left","Left","1"
9,18,"Right","Left","0"
9,19,"Left","Left","1"
9,20,"Right","Right","1"
10,1,"Space","Left",""
10,2,"Space","Left",""
10,3,"Space","Right",""
10,4,"Space","Left",""
10,5,"Space","Right",""
10,6,"Space","Left",""
10,7,"Space","Right",""
10,8,"Space","Right",""
10,9,"Space","Left",""
10,10,"Space","Right",""
10,11,"Space","Right",""
10,12,"Space","Left",""
10,13,"Space","Left",""
10,14,"Space","Right",""
10,15,"Space","Left",""
10,16,"Space","Left",""
10,17,"Space","Right",""
10,18,"Space","Right",""
10,19,"Space","Right",""
10,20,"Space","Left",""
11,1,"Right","Left","0"
11,2,"Right","Left","0"
11,3,"Left","Right","0"
11,4,"Right","Left","0"
11,5,"Right","Right","1"
11,6,"Right","Left","0"
11,7,"Left","Right","0"
11,8,"Right","Right","1"
11,9,"Left","Left","1"
11,10,"Right","Right","1"
11,11,"Right","Right","1"
11,12,"Left","Left","1"
11,13,"Left","Left","1"
11,14,"Right","Right","1"
11,15,"Left","Left","1"
11,16,"Left","Left","1"
11,17,"Right","Right","1"
11,18,"Right","Right","1"
11,19,"Left","Right","0"
11,20,"Left","Left","1"
12,1,"Space","Left",""
12,2,"Space","Left",""
12,3,"Space","Right",""
12,4,"Space","Left",""
12,5,"Space","Right",""
12,6,"Space","Left",""
12,7,"Space","Right",""
12,8,"Space","Right",""
12,9,"Space","Left",""
12,10,"Space","Right",""
12,11,"Space","Right",""
12,12,"Space","Left",""
12,13,"Space","Left",""
12,14,"Space","Right",""
12,15,"Space","Left",""
12,16,"Space","Left",""
12,17,"Space","Right",""
12,18,"Space","Right",""
12,19,"Space","Right",""
12,20,"Space","Left",""
13,1,"Left","Left","1"
13,2,"Left","Left","1"
13,3,"Right","Right","1"
13,4,"Left","Left","1"
13,5,"Right","Right","1"
13,6,"Left","Left","1"
13,7,"Right","Right","1"
13,8,"Right","Right","1"
13,9,"Left","Left","1"
13,10,"Right","Right","1"
13,11,"Left","Right","0"
13,12,"Right","Left","0"
13,13,"Left","Left","1"
13,14,"Right","Right","1"
13,15,"Right","Left","0"
13,16,"Right","Left","0"
13,17,"Left","Right","0"
13,18,"Right","Right","1"
13,19,"Right","Right","1"
13,20,"Right","Left","0"
14,1,"Right","Right","1"
14,2,"Right","Right","1"
14,3,"Right","Left","0"
14,4,"Right","Right","1"
14,5,"Left","Left","1"
14,6,"Left","Right","0"
14,7,"Right","Left","0"
14,8,"Left","Left","1"
14,9,"Left","Right","0"
14,10,"Left","Left","1"
14,11,"Right","Left","0"
14,12,"Right","Right","1"
14,13,"Right","Right","1"
14,14,"Right","Left","0"
14,15,"Right","Right","1"
14,16,"Right","Right","1"
14,17,"Left","Left","1"
14,18,"Left","Left","1"
14,19,"Right","Left","0"
14,20,"Right","Right","1"
15,1,"Left","Right","0"
15,2,"Left","Right","0"
15,3,"Left","Left","1"
15,4,"Left","Right","0"
15,5,"Left","Left","1"
15,6,"Left","Right","0"
15,7,"Right","Left","0"
15,8,"Left","Left","1"
15,9,"Left","Right","0"
15,10,"Left","Left","1"
15,11,"Left","Left","1"
15,12,"Left","Right","0"
15,13,"Right","Right","1"
15,14,"Right","Left","0"
15,15,"Right","Right","1"
15,16,"Right","Right","1"
15,17,"Left","Left","1"
15,18,"Left","Left","1"
15,19,"Left","Left","1"
15,20,"Right","Right","1"
16,1,"Left","Right","0"
16,2,"Left","Right","0"
16,3,"Left","Left","1"
16,4,"Right","Right","1"
16,5,"Left","Left","1"
16,6,"Left","Right","0"
16,7,"Left","Left","1"
16,8,"Left","Left","1"
16,9,"Right","Right","1"
16,10,"Left","Left","1"
16,11,"Left","Left","1"
16,12,"Right","Right","1"
16,13,"Right","Right","1"
16,14,"Right","Left","0"
16,15,"Right","Right","1"
16,16,"Left","Right","0"
16,17,"Left","Left","1"
16,18,"Left","Left","1"
16,19,"Left","Left","1"
16,20,"Left","Right","0"
17,1,"Right","Right","1"
17,2,"Right","Right","1"
17,3,"Left","Left","1"
17,4,"Right","Right","1"
17,5,"Right","Left","0"
17,6,"Right","Right","1"
17,7,"Right","Left","0"
17,8,"Right","Left","0"
17,9,"Right","Right","1"
17,10,"Right","Left","0"
17,11,"Left","Left","1"
17,12,"Right","Right","1"
17,13,"Right","Right","1"
17,14,"Left","Left","1"
17,15,"Left","Right","0"
17,16,"Right","Right","1"
17,17,"Right","Left","0"
17,18,"Right","Left","0"
17,19,"Left","Left","1"
17,20,"Right","Right","1"
